score,verdict,title,company,location,tier,salary,source,url,reasoning,date_posted
85,"STRONG","Freelance AV Technician – Audio, Video","MDM Entertainment","Chicago, IL","","",serpapi_google_jobs,https://us.bebee.com/job/0a8002eeeaa7ef4075cad9bc7a5a31d5?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"1.  **Should I apply?** **Yes.** MDM is a reputable local player. Even if the posting seems general, they always need elite A1s for their larger galas.
2.  **Is it worth tailoring my resume?** **Light","12 days ago"
85,"STRONG","Lead Audio Engineer","Apple","Cupertino, CA, Estados Unidos","","De USD 147 k a USD 221 k por año",serpapi_google_jobs,https://www.linkedin.com/jobs/view/lead-audio-engineer-at-apple-4372571539?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"1. **Should I apply?** **Yes.** This is a marquee role that fits your "high stakes corporate" profile perfectly.
2. **Is it worth tailoring my resume?** **Yes.** You need to move your "L-ISA" experien","hace 8 horas"
85,"STRONG","Audio Visual (AV) Technician","Input Technology Solutions","Washington, DC","","",serpapi_google_jobs,https://www.ziprecruiter.com/c/Input-Technology-Solutions/Job/Audio-Visual-(AV)-Technician/-in-Washington,DC?jid=575115ca6abb3808&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"1.  **Should I apply?** Yes, but only if you value the stability and prestige of the USHMM over the higher-intensity/higher-paying freelance A1 market.
2.  **Is it worth tailoring my resume?** Yes. Yo",""
85,"STRONG","Broadcast Engineer","Advanced Systems Group LLC","New York, NY","","",serpapi_google_jobs,https://jobs.jobvite.com/asgllc/job/oibgzfw2?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"1. **Should I apply?** **Yes.** It is a strong bridge from live events/corporate into the NYC broadcast world with a reputable firm (ASG).
2. **Is it worth tailoring my resume?** **Yes.** You need to ",""
85,"STRONG","Staff Broadcast Engineer — Global Live Production","Databricks Inc.","San Francisco, CA","","",serpapi_google_jobs,https://www.mediabistro.com/jobs/2460371833-staff-broadcast-engineer-global-live-production?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"1.  **Should I apply?** **Yes.** This is a career-defining role at a "Pre-IPO" giant with a massive compensation jump.
2.  **Is it worth tailoring my resume?** **Yes — significant tailoring needed.** ","11 days ago"
85,"STRONG","IT Engineering - Audiovisual Broadcast Engineer","Anthropic","San Francisco, CA","","225K–275K a year",serpapi_google_jobs,https://career.io/job/it-engineering-audiovisual-broadcast-engineer-sf-anthropic-1a1882d20640f98a2bac644943f8406c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"1.  **Should I apply?** Yes. This is a "Career Level" role that perfectly values your high-end corporate and RF experience.
2.  **Is it worth tailoring my resume?** Yes. You need to frame your "Accoun","5 days ago"
85,"STRONG","Audio Visual Engineer - Event Support","Asana","Anywhere","","",serpapi_google_jobs,https://www.tealhq.com/job/audio-visual-engineer-event-support_7ea1a50da2a0d886b7b53adad55093865ae1f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"1.  **Should I apply?** Yes. This is a premier corporate in-house role with a top-tier tech company.
2.  **Is it worth tailoring my resume?** Yes — significant tailoring needed.
3.  **What's the singl",""
85,"STRONG","Audiovisual Engineer (Open to All Dykema Locations)","Dykema","Chicago, IL","","",serpapi_google_jobs,https://www.linkedin.com/jobs/view/audiovisual-engineer-open-to-all-dykema-locations-at-dykema-4372117831?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"1.  **Should I apply?** Yes. This is a high-paying, stable pivot into a premium corporate environment.
2.  **Is it worth tailoring my resume?** Yes — significant tailoring needed. You need to pivot th","5 days ago"
85,"STRONG","Lead Audio Engineer","Apple","","Tier 3 — Big Tech","",career_page,https://jobs.apple.com/en-us/details/200646544-0836/lead-audio-engineer?team=MKTG,"1.  **Should I apply?** **Yes.** This is a career-defining role.
2.  **Is it worth tailoring my resume?** **Yes.** You need to pivot from "Freelancer for hire" to "Systems Architect and Lead Engineer.",""
85,"STRONG","Senior Pre-sales Solutions Engineer (AV/IT) - New York, NY","Shure","New York, New York","","$93,800 - $159,500 (yearly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=e4aea3e7d7d8bb8c,"1.  **Should I apply?** Yes. This is a "Goldilocks" role for an A1 looking to transition into the corporate manufacturer side.
2.  **Is it worth tailoring my resume?** Yes — significant tailoring need","2026-02-13"
85,"STRONG","Senior Pre-sales Solution Engineer (AV/IT) - Seattle, WA","Shure","Seattle, Washington","","$85,000 - $144,000 (yearly)",jobspy_indeed,https://www.indeed.com/viewjob?jk=cec58863cd9a5f9b,"1.  **Should I apply?** Yes. This is a "Goldilocks" role for an A1 looking to transition into a stable, high-paying corporate manufacturer role. Shure is a premier brand in your toolbelt (Axient, Work","2026-02-13"
