score,verdict,title,company,location,tier,salary,source,url,reasoning,date_posted
0,"","AV Technician - Chicago","Premiere Systems","Chicago, IL","","27–40 an hour",serpapi_google_jobs,https://www.tealhq.com/job/av-technician_7ea1abddaaadb3dc3427ff4c3aaae04154a1c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"","2026-02-19"
0,"","Freelance AV Technician – Audio, Video & Lighting (Chicago Area)","MDM Entertainment","Chicago, IL","","20–26 an hour",serpapi_google_jobs,https://hiring.cafe/viewjob/ny5zbjou9oqney5x?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"",""
0,"","Corporate AV Technician, Meetings & Events","Convene","Chicago, IL","","60K–65K a year",serpapi_google_jobs,https://career.io/job/technical-directorproduction-manager-business-meetings-live-chicago-kemper-associates-4313a91553c653a690523821a33dac4a?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"","2026-03-11"
0,"","Audiovisual/IT Technicians","HTX Health Solutions","Chicago, IL","","65K a year",serpapi_google_jobs,https://tallo.com/talent/job/design-and-media/audio-or-visual-technician/il/chicago/av-technician-assistant-310a2eaa?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"","2026-03-04"
0,"","Low Voltage / Industrial / CCTV / AV Technician","Wachter, Inc.","Chicago, IL","","",serpapi_google_jobs,https://jobs.lever.co/wachter/8dcb263a-4d51-468f-abd6-84b8ec59eea0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"",""
0,"","Audio Visual Technician","Remote Audio/Video/Lighting","Plainfield, IL","","",serpapi_google_jobs,https://www.learn4good.com/jobs/plainfield/illinois/skilled_labor/4856190997/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"",""
0,"","AV Technician","Amplify People","Northbrook, IL","","",serpapi_google_jobs,https://amplifypeople.applytojob.com/apply/BKyMSRoDJh/AV-Technician?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"","2026-03-01"
0,"","Multimedia AV Technician: Event & Meeting Space Expert","Waveguide LLC","Chicago, IL","","",serpapi_google_jobs,https://us.jobrapido.com/jobpreview/7282504346896433152?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"","2026-03-12"
0,"","Theatre Technician – Audio Engineer","Northbrook Park District - Northbrook Theatre","Northbrook, IL","","",serpapi_google_jobs,https://jobs.leagueofchicagotheatres.org/job/northbrook-park-district-northbrook-theatre-northbrook-part-time-theatre-technician-audio-engineer/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"",""
0,"","AV Technician","ThreePDS Inc. Recruiting, Staffing, and Consulting","New York, NY, Estados Unidos","","US$ 23 a US$ 25 por hora",serpapi_google_jobs,https://myjobsny.usnlx.com/new-york-ny/av-technician/A5BADB5AD32948DCAED34316822200DC/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"","há 5 dias"
